person_age,person_gender,person_education,person_income,person_home_ownership,loan_amnt,loan_intent,loan_percent_income,credit_score,previous_loan_defaults_on_file,loan_status
24,female,High School,53117,RENT,3000,PERSONAL,0.06,605,Yes,0
21,male,High School,40938,MORTGAGE,11200,VENTURE,0.27,659,No,1
23,female,High School,54063,RENT,3000,MEDICAL,0.06,588,Yes,0
23,male,High School,53857,RENT,3000,MEDICAL,0.06,634,Yes,0
23,male,Bachelor,41224,OWN,9000,VENTURE,0.22,566,Yes,0
25,male,High School,40543,MORTGAGE,5000,VENTURE,0.12,650,No,0
24,male,Bachelor,40727,OWN,12250,VENTURE,0.3,527,Yes,0
24,female,Bachelor,41061,MORTGAGE,6000,DEBTCONSOLIDATION,0.15,583,Yes,0
24,female,Associate,40862,MORTGAGE,2500,HOMEIMPROVEMENT,0.06,623,Yes,0
25,male,Associate,55064,RENT,3000,MEDICAL,0.05,633,Yes,0
24,female,Master,41088,MORTGAGE,10000,HOMEIMPROVEMENT,0.24,693,Yes,0
24,female,Master,55086,RENT,3000,MEDICAL,0.05,615,Yes,0
24,male,High School,55270,RENT,3000,DEBTCONSOLIDATION,0.05,637,Yes,0
22,male,High School,55085,RENT,3000,PERSONAL,0.05,592,Yes,0
26,male,High School,47976,RENT,3000,EDUCATION,0.06,589,No,1
24,female,Master,47921,RENT,3000,MEDICAL,0.06,681,No,1
22,female,Associate,55095,RENT,3000,EDUCATION,0.05,707,Yes,0
24,male,Associate,55007,RENT,3000,VENTURE,0.05,653,Yes,0
21,male,Bachelor,48436,RENT,3000,MEDICAL,0.06,682,No,1
23,female,Associate,41234,MORTGAGE,4200,MEDICAL,0.1,610,Yes,0
24,male,Associate,48982,RENT,3000,EDUCATION,0.06,694,No,1
25,female,Associate,40937,MORTGAGE,7125,MEDICAL,0.17,655,No,0
22,female,Bachelor,41135,OWN,5000,MEDICAL,0.12,664,Yes,0
24,male,Associate,41126,MORTGAGE,2500,PERSONAL,0.06,649,Yes,0
24,male,High School,49243,RENT,3000,EDUCATION,0.06,649,No,1
25,female,Master,56348,RENT,3000,MEDICAL,0.05,646,Yes,0
23,male,Associate,41348,MORTGAGE,8000,PERSONAL,0.19,645,Yes,0
22,male,High School,57326,RENT,3000,EDUCATION,0.05,628,Yes,0
21,female,Bachelor,57792,RENT,3000,PERSONAL,0.05,661,No,0
25,male,Bachelor,41003,OWN,9750,VENTURE,0.24,600,Yes,0
26,female,Bachelor,58088,RENT,3000,VENTURE,0.05,639,Yes,0
23,male,High School,41137,MORTGAGE,4000,DEBTCONSOLIDATION,0.1,620,Yes,0
24,male,Associate,51314,RENT,3000,DEBTCONSOLIDATION,0.06,609,No,1
24,male,High School,41542,MORTGAGE,12000,VENTURE,0.29,647,Yes,0
25,male,High School,58532,RENT,3000,DEBTCONSOLIDATION,0.05,609,Yes,0
22,male,Master,58772,RENT,3000,PERSONAL,0.05,489,Yes,0
25,female,Associate,58692,RENT,3000,EDUCATION,0.05,547,Yes,0
21,female,Associate,58533,RENT,3000,EDUCATION,0.05,641,No,0
26,male,Associate,58359,RENT,3000,MEDICAL,0.05,605,Yes,0
25,female,High School,41262,MORTGAGE,12000,VENTURE,0.29,633,Yes,0
22,female,Master,60589,RENT,3000,PERSONAL,0.05,639,Yes,0
25,male,Bachelor,61044,RENT,3000,HOMEIMPROVEMENT,0.05,590,Yes,0
26,female,Associate,54295,RENT,3000,HOMEIMPROVEMENT,0.06,574,No,1
23,female,Master,61202,RENT,3000,DEBTCONSOLIDATION,0.05,704,No,0
23,female,Master,53860,RENT,3000,DEBTCONSOLIDATION,0.06,673,No,1
23,male,Associate,61182,RENT,3000,EDUCATION,0.05,642,Yes,0
22,female,Associate,41120,MORTGAGE,10750,EDUCATION,0.26,643,No,0
23,female,Master,53799,RENT,3000,PERSONAL,0.06,659,No,1
22,female,High School,41177,MORTGAGE,5000,VENTURE,0.12,618,No,0
23,male,High School,61262,RENT,3000,EDUCATION,0.05,569,Yes,0
26,male,High School,61146,RENT,3000,PERSONAL,0.05,672,No,0
22,female,Associate,60835,RENT,3000,PERSONAL,0.05,588,No,0
24,male,Associate,62243,RENT,3000,DEBTCONSOLIDATION,0.05,631,Yes,0
24,male,Associate,63225,RENT,3000,HOMEIMPROVEMENT,0.05,616,Yes,0
24,male,Master,63075,RENT,3000,HOMEIMPROVEMENT,0.05,574,No,0
24,male,High School,63091,RENT,3000,PERSONAL,0.05,657,No,0
22,female,Bachelor,56291,RENT,3000,MEDICAL,0.05,544,No,1
23,male,High School,63376,RENT,3000,DEBTCONSOLIDATION,0.05,579,Yes,0
22,male,High School,41593,MORTGAGE,12000,VENTURE,0.29,575,No,0
23,female,High School,63395,RENT,3000,EDUCATION,0.05,587,No,0
25,male,Associate,63776,RENT,3000,DEBTCONSOLIDATION,0.05,608,Yes,0
22,male,Bachelor,41314,MORTGAGE,5000,EDUCATION,0.12,642,No,0
25,male,Bachelor,59371,RENT,12000,MEDICAL,0.2,653,Yes,0
22,male,High School,59528,RENT,12000,DEBTCONSOLIDATION,0.2,577,Yes,0
26,female,Bachelor,41540,MORTGAGE,14400,VENTURE,0.35,649,No,0
23,male,Bachelor,59299,RENT,12000,VENTURE,0.2,592,Yes,0
25,male,Bachelor,41795,MORTGAGE,10000,EDUCATION,0.24,668,Yes,0
23,male,Bachelor,41790,OWN,13000,EDUCATION,0.31,639,Yes,0
23,female,Master,59153,RENT,12000,EDUCATION,0.2,610,Yes,0
26,male,High School,60415,RENT,12000,DEBTCONSOLIDATION,0.2,619,Yes,0
23,female,High School,41913,MORTGAGE,1000,DEBTCONSOLIDATION,0.02,590,No,1
25,female,High School,60517,RENT,12000,EDUCATION,0.2,602,Yes,0
24,female,Bachelor,41918,MORTGAGE,4000,VENTURE,0.1,639,No,0
25,male,Associate,61169,RENT,12000,PERSONAL,0.2,668,Yes,0
26,female,Bachelor,61180,RENT,12000,VENTURE,0.2,656,Yes,0
24,male,High School,42223,OWN,5100,MEDICAL,0.12,671,Yes,0
21,male,Associate,41953,MORTGAGE,2500,HOMEIMPROVEMENT,0.06,654,No,1
22,male,High School,41860,OWN,10000,VENTURE,0.24,644,No,0
21,male,High School,60925,RENT,12000,PERSONAL,0.2,530,Yes,0
23,male,High School,60593,RENT,12000,EDUCATION,0.2,643,Yes,0
24,male,High School,60830,RENT,12000,EDUCATION,0.2,671,No,0
24,female,Bachelor,54064,RENT,12000,DEBTCONSOLIDATION,0.22,669,No,1
23,female,Master,60675,RENT,12000,DEBTCONSOLIDATION,0.2,641,Yes,0
22,male,Associate,53904,RENT,12000,DEBTCONSOLIDATION,0.22,553,No,1
24,female,High School,61257,RENT,12000,HOMEIMPROVEMENT,0.2,647,Yes,0
25,male,Associate,61118,RENT,12000,EDUCATION,0.2,604,No,0
23,male,Master,53866,RENT,12000,MEDICAL,0.22,647,No,1
25,female,Associate,60779,RENT,12000,PERSONAL,0.2,547,Yes,0
23,female,High School,60977,RENT,12000,EDUCATION,0.2,607,Yes,0
22,male,Bachelor,61205,RENT,12000,PERSONAL,0.2,598,Yes,0
25,male,High School,54102,RENT,12000,MEDICAL,0.22,642,No,1
23,male,Associate,53910,RENT,12000,VENTURE,0.22,621,No,1
22,male,High School,61435,RENT,12000,EDUCATION,0.2,609,Yes,0
26,female,Bachelor,41753,MORTGAGE,12000,DEBTCONSOLIDATION,0.29,660,No,0
25,male,Bachelor,61370,RENT,12000,DEBTCONSOLIDATION,0.2,672,No,0
23,female,High School,61517,RENT,12000,VENTURE,0.2,578,Yes,0
25,female,High School,41914,MORTGAGE,10000,DEBTCONSOLIDATION,0.24,586,Yes,0
25,female,Bachelor,42223,MORTGAGE,2500,HOMEIMPROVEMENT,0.06,619,No,0
23,female,Bachelor,42174,MORTGAGE,10000,DEBTCONSOLIDATION,0.24,631,Yes,0
23,female,Bachelor,62046,RENT,12000,EDUCATION,0.19,674,No,0
22,male,Bachelor,55686,RENT,12000,MEDICAL,0.22,530,No,1
25,female,High School,63508,RENT,12000,MEDICAL,0.19,597,Yes,0
24,female,Associate,63124,RENT,12000,PERSONAL,0.19,640,No,0
25,male,Bachelor,42203,MORTGAGE,2000,DEBTCONSOLIDATION,0.05,614,No,1
22,male,Associate,63225,RENT,12000,EDUCATION,0.19,681,Yes,0
23,male,Associate,41843,OWN,10950,VENTURE,0.26,644,Yes,0
26,female,Associate,41963,MORTGAGE,5000,PERSONAL,0.12,559,Yes,0
22,male,Associate,63111,RENT,12000,EDUCATION,0.19,583,Yes,0
26,male,Bachelor,42045,MORTGAGE,6000,PERSONAL,0.14,715,Yes,0
22,female,High School,63291,RENT,12000,PERSONAL,0.19,607,No,0
21,male,Bachelor,41852,MORTGAGE,6000,EDUCATION,0.14,667,No,0
25,male,Bachelor,57065,RENT,12000,HOMEIMPROVEMENT,0.21,610,No,1
21,female,Associate,41365,MORTGAGE,7200,PERSONAL,0.17,552,No,1
24,female,High School,41988,MORTGAGE,5100,PERSONAL,0.12,612,Yes,0
23,male,Master,57257,RENT,12000,DEBTCONSOLIDATION,0.21,630,No,1
24,male,Bachelor,64797,RENT,12000,VENTURE,0.19,587,Yes,0
26,male,High School,64510,RENT,12000,PERSONAL,0.19,484,Yes,0
22,male,Associate,41728,MORTGAGE,11500,MEDICAL,0.28,633,Yes,0
24,male,High School,64516,RENT,12000,MEDICAL,0.19,625,Yes,0
23,female,High School,65829,RENT,12000,PERSONAL,0.18,661,No,0
22,female,High School,65640,RENT,12000,DEBTCONSOLIDATION,0.18,571,No,0
25,female,Associate,41803,MORTGAGE,6000,MEDICAL,0.14,670,No,1
22,male,Bachelor,65445,RENT,12000,DEBTCONSOLIDATION,0.18,623,No,0
24,female,High School,65845,RENT,12000,EDUCATION,0.18,575,Yes,0
23,male,Bachelor,65827,RENT,12000,VENTURE,0.18,528,Yes,0
22,female,Master,59276,RENT,12000,VENTURE,0.2,642,No,1
25,female,Bachelor,41742,MORTGAGE,10000,MEDICAL,0.24,673,Yes,0
25,female,High School,66933,RENT,12000,HOMEIMPROVEMENT,0.18,655,Yes,0
24,male,Associate,41613,MORTGAGE,10000,MEDICAL,0.24,650,No,0
26,male,High School,66845,RENT,12000,PERSONAL,0.18,659,No,0
23,male,High School,41398,MORTGAGE,19000,DEBTCONSOLIDATION,0.46,626,Yes,0
22,male,Bachelor,67038,RENT,12000,VENTURE,0.18,653,No,0
26,male,Associate,67550,RENT,12000,PERSONAL,0.18,692,No,0
24,female,Associate,41689,MORTGAGE,6000,HOMEIMPROVEMENT,0.14,601,Yes,0
25,female,Associate,41621,MORTGAGE,10000,EDUCATION,0.24,685,No,0
25,male,Master,66967,RENT,12000,EDUCATION,0.18,669,Yes,0
22,male,Bachelor,41728,MORTGAGE,5000,EDUCATION,0.12,644,Yes,0
21,female,Associate,67003,RENT,12000,VENTURE,0.18,600,No,0
25,female,Bachelor,41879,MORTGAGE,7000,EDUCATION,0.17,657,Yes,0
25,male,Associate,59792,RENT,12000,DEBTCONSOLIDATION,0.2,624,No,1
24,male,Associate,41634,OWN,10000,VENTURE,0.24,650,Yes,0
22,male,Bachelor,67114,RENT,12000,EDUCATION,0.18,563,Yes,0
24,male,Bachelor,67085,RENT,12000,EDUCATION,0.18,671,Yes,0
21,male,Bachelor,41896,OWN,1500,PERSONAL,0.04,664,Yes,0
22,male,Bachelor,67444,RENT,12000,EDUCATION,0.18,577,Yes,0
22,female,Bachelor,68328,RENT,12000,EDUCATION,0.18,678,Yes,0
23,male,Bachelor,41791,MORTGAGE,9000,PERSONAL,0.22,669,Yes,0
23,female,Associate,42258,MORTGAGE,5500,MEDICAL,0.13,676,Yes,0
21,male,High School,68428,RENT,12000,VENTURE,0.18,652,Yes,0
24,male,Associate,67919,RENT,12000,VENTURE,0.18,655,Yes,0
23,female,Bachelor,68294,RENT,12000,PERSONAL,0.18,651,Yes,0
24,male,Bachelor,67975,RENT,12000,HOMEIMPROVEMENT,0.18,665,Yes,0
24,male,High School,67915,RENT,12000,VENTURE,0.18,668,Yes,0
25,female,Bachelor,61219,RENT,12000,PERSONAL,0.2,532,No,1
22,male,Associate,68944,RENT,12000,EDUCATION,0.17,638,Yes,0
23,male,High School,69560,RENT,12000,EDUCATION,0.17,599,Yes,0
26,male,Bachelor,69402,RENT,12000,MEDICAL,0.17,610,No,0
23,female,High School,42395,MORTGAGE,5000,EDUCATION,0.12,661,Yes,0
23,male,High School,62035,RENT,12000,DEBTCONSOLIDATION,0.19,619,No,1
21,female,High School,69519,RENT,12000,DEBTCONSOLIDATION,0.17,657,Yes,0
24,female,Master,62174,RENT,12000,PERSONAL,0.19,687,No,1
22,male,Associate,69512,RENT,12000,EDUCATION,0.17,565,Yes,0
23,male,Associate,69570,RENT,12000,DEBTCONSOLIDATION,0.17,644,Yes,0
23,male,Master,70337,RENT,12000,DEBTCONSOLIDATION,0.17,569,No,0
25,female,High School,62740,RENT,12000,MEDICAL,0.19,673,No,1
23,male,Bachelor,63238,RENT,12000,DEBTCONSOLIDATION,0.19,611,No,1
21,female,High School,42678,MORTGAGE,6400,EDUCATION,0.15,489,Yes,0
26,male,Doctorate,70598,RENT,12000,DEBTCONSOLIDATION,0.17,571,Yes,0
22,male,Associate,70623,RENT,12000,VENTURE,0.17,651,No,0
24,female,Associate,70285,RENT,12000,EDUCATION,0.17,616,Yes,0
24,female,Associate,63729,RENT,12000,MEDICAL,0.19,603,No,1
26,male,Master,42032,MORTGAGE,5400,DEBTCONSOLIDATION,0.13,692,Yes,0
22,male,High School,71611,RENT,12000,PERSONAL,0.17,659,No,0
23,male,Associate,42545,MORTGAGE,10000,MEDICAL,0.24,563,Yes,0
24,female,Associate,63496,RENT,3000,DEBTCONSOLIDATION,0.05,640,No,0
24,male,Associate,63688,RENT,3000,MEDICAL,0.05,646,Yes,0
23,female,Bachelor,64734,RENT,3000,MEDICAL,0.05,583,No,0
23,male,Bachelor,42580,MORTGAGE,6800,EDUCATION,0.16,638,Yes,0
24,female,Master,42331,MORTGAGE,4000,DEBTCONSOLIDATION,0.09,696,No,0
25,male,Bachelor,64810,RENT,3000,MEDICAL,0.05,615,Yes,0
21,male,Bachelor,64777,RENT,3000,EDUCATION,0.05,651,No,0
23,female,Associate,42671,MORTGAGE,3000,HOMEIMPROVEMENT,0.07,549,No,1
22,female,Associate,65612,RENT,3000,MEDICAL,0.05,675,Yes,0
22,male,Bachelor,42880,MORTGAGE,1500,DEBTCONSOLIDATION,0.03,661,Yes,0
25,female,Associate,65750,RENT,3000,VENTURE,0.05,625,Yes,0
26,female,Bachelor,42811,MORTGAGE,5975,MEDICAL,0.14,538,Yes,0
25,female,Associate,42648,MORTGAGE,5125,DEBTCONSOLIDATION,0.12,634,No,1
25,female,High School,42471,MORTGAGE,9450,DEBTCONSOLIDATION,0.22,623,No,0
23,male,Bachelor,66811,RENT,3000,EDUCATION,0.04,606,Yes,0
22,female,Bachelor,67025,RENT,3000,PERSONAL,0.04,627,No,0
25,female,Bachelor,59830,RENT,3000,VENTURE,0.05,631,No,1
22,male,High School,59387,RENT,3000,DEBTCONSOLIDATION,0.05,593,No,1
26,male,Associate,66852,RENT,3000,DEBTCONSOLIDATION,0.04,666,Yes,0
23,female,Bachelor,66737,RENT,3000,VENTURE,0.04,566,Yes,0
25,male,Master,67067,RENT,3000,MEDICAL,0.04,637,Yes,0
22,female,Associate,67633,RENT,3000,MEDICAL,0.04,656,Yes,0
22,female,High School,42825,MORTGAGE,4000,DEBTCONSOLIDATION,0.09,678,No,0
25,male,Bachelor,68484,RENT,3000,PERSONAL,0.04,596,Yes,0
24,male,High School,60935,RENT,3000,MEDICAL,0.05,611,No,1
22,female,Bachelor,42548,MORTGAGE,13000,PERSONAL,0.31,676,No,0
25,male,Master,42498,MORTGAGE,6000,VENTURE,0.14,563,Yes,0
25,female,Bachelor,61463,RENT,3000,DEBTCONSOLIDATION,0.05,618,No,1
23,female,High School,43154,MORTGAGE,22550,EDUCATION,0.52,460,Yes,0
21,male,Associate,69394,RENT,3000,PERSONAL,0.04,614,No,0
24,male,High School,43196,MORTGAGE,8000,HOMEIMPROVEMENT,0.19,585,Yes,0
24,male,Bachelor,69006,RENT,3000,MEDICAL,0.04,631,Yes,0
23,female,Associate,43290,MORTGAGE,12000,DEBTCONSOLIDATION,0.28,519,Yes,0
22,female,High School,70597,RENT,3000,EDUCATION,0.04,625,Yes,0
23,male,Bachelor,71381,RENT,3000,DEBTCONSOLIDATION,0.04,598,Yes,0
23,female,Master,72194,RENT,3000,DEBTCONSOLIDATION,0.04,523,Yes,0
23,male,Associate,72132,RENT,3000,MEDICAL,0.04,622,No,0
21,male,Bachelor,42977,OWN,10000,VENTURE,0.23,601,No,0
23,female,Master,43410,OWN,5000,MEDICAL,0.12,707,No,0
25,male,Associate,72840,RENT,3000,EDUCATION,0.04,605,Yes,0
26,female,Associate,73546,RENT,3000,VENTURE,0.04,673,No,0
26,male,Bachelor,43427,OWN,4800,HOMEIMPROVEMENT,0.11,641,Yes,0
24,male,Associate,42879,MORTGAGE,15000,MEDICAL,0.35,597,Yes,0
26,male,Associate,72912,RENT,3000,DEBTCONSOLIDATION,0.04,608,No,0
23,female,High School,72648,RENT,3000,DEBTCONSOLIDATION,0.04,507,Yes,0
23,female,Bachelor,72910,RENT,3000,MEDICAL,0.04,609,Yes,0
21,male,Associate,43081,MORTGAGE,6900,PERSONAL,0.16,661,Yes,0
23,male,Bachelor,42952,OWN,14000,VENTURE,0.33,681,Yes,0
22,male,Bachelor,72890,RENT,3000,PERSONAL,0.04,657,Yes,0
26,female,Associate,73858,RENT,3000,HOMEIMPROVEMENT,0.04,681,Yes,0
24,male,Associate,42626,MORTGAGE,8575,MEDICAL,0.2,628,Yes,0
22,male,Associate,43144,MORTGAGE,9500,DEBTCONSOLIDATION,0.22,550,Yes,0
24,male,High School,67289,RENT,3000,EDUCATION,0.04,586,No,1
23,male,Bachelor,74580,RENT,3000,PERSONAL,0.04,553,No,0
21,female,Bachelor,42886,OWN,5000,EDUCATION,0.12,677,Yes,0
25,female,High School,43068,MORTGAGE,7000,DEBTCONSOLIDATION,0.16,628,No,0
24,female,High School,75854,RENT,3000,EDUCATION,0.04,586,Yes,0
23,male,Associate,68599,RENT,3000,DEBTCONSOLIDATION,0.04,615,No,1
23,female,Bachelor,69380,RENT,3000,HOMEIMPROVEMENT,0.04,643,No,1
24,female,Bachelor,42973,OWN,7000,HOMEIMPROVEMENT,0.16,659,Yes,0
24,male,High School,43324,MORTGAGE,7500,HOMEIMPROVEMENT,0.17,574,Yes,0
26,female,Bachelor,77901,RENT,3000,MEDICAL,0.04,696,Yes,0
22,male,Associate,70631,RENT,3000,EDUCATION,0.04,586,No,1
23,female,Master,71418,RENT,3000,PERSONAL,0.04,672,No,1
22,female,Bachelor,71685,RENT,3000,MEDICAL,0.04,672,No,1
25,male,Master,79418,RENT,3000,HOMEIMPROVEMENT,0.04,671,No,0
24,male,Master,43126,OWN,10000,MEDICAL,0.23,626,Yes,0
22,male,Master,78958,RENT,3000,EDUCATION,0.04,701,No,0
22,male,Bachelor,42843,OWN,8000,EDUCATION,0.19,644,Yes,0
26,male,Bachelor,78908,RENT,3000,VENTURE,0.04,664,No,0
23,male,Bachelor,79261,RENT,3000,EDUCATION,0.04,592,Yes,0
26,male,High School,43036,MORTGAGE,8000,PERSONAL,0.19,669,No,0
23,male,Master,78953,RENT,3000,VENTURE,0.04,676,No,0
23,female,Bachelor,80042,RENT,3000,EDUCATION,0.04,626,Yes,0
25,female,High School,73304,RENT,3000,MEDICAL,0.04,566,No,1
23,male,Associate,81557,RENT,3000,MEDICAL,0.04,657,Yes,0
23,female,High School,43026,MORTGAGE,12000,VENTURE,0.28,674,No,0
21,male,High School,43180,OWN,8000,VENTURE,0.19,659,No,0
22,female,High School,42890,MORTGAGE,5000,MEDICAL,0.12,597,Yes,0
26,female,Master,82266,RENT,3000,EDUCATION,0.04,615,Yes,0
26,female,High School,82053,RENT,3000,HOMEIMPROVEMENT,0.04,576,Yes,0
21,female,Bachelor,82451,RENT,3000,PERSONAL,0.04,646,No,0
26,male,Bachelor,66361,RENT,3000,MEDICAL,0.05,658,No,1
23,male,Bachelor,84867,RENT,3000,VENTURE,0.04,595,Yes,0
22,female,Bachelor,85273,RENT,3000,PERSONAL,0.04,648,No,0
24,male,Master,78179,RENT,3000,DEBTCONSOLIDATION,0.04,603,No,1
24,male,Master,43074,MORTGAGE,15000,EDUCATION,0.35,672,No,0
22,female,Bachelor,42873,MORTGAGE,6000,EDUCATION,0.14,677,Yes,0
22,male,Master,86011,RENT,3000,MEDICAL,0.03,704,No,0
26,male,Master,86137,RENT,3000,MEDICAL,0.03,592,Yes,0
26,male,High School,43017,MORTGAGE,7200,PERSONAL,0.17,641,No,0
23,male,High School,87386,RENT,3000,MEDICAL,0.03,613,Yes,0
21,female,Associate,43672,MORTGAGE,15000,DEBTCONSOLIDATION,0.34,499,Yes,0
23,male,High School,87342,RENT,3000,PERSONAL,0.03,677,Yes,0
26,male,High School,87511,RENT,3000,HOMEIMPROVEMENT,0.03,617,Yes,0
23,female,Associate,88376,RENT,3000,VENTURE,0.03,546,Yes,0
22,male,Master,42783,MORTGAGE,5000,VENTURE,0.12,706,Yes,0
23,female,Master,90250,RENT,3000,DEBTCONSOLIDATION,0.03,622,Yes,0
23,male,Associate,42863,MORTGAGE,2100,EDUCATION,0.05,577,Yes,0
24,female,Bachelor,35820,MORTGAGE,6000,MEDICAL,0.17,653,No,1
21,female,Bachelor,42979,MORTGAGE,4800,DEBTCONSOLIDATION,0.11,620,No,0
22,female,Bachelor,91092,RENT,3000,EDUCATION,0.03,610,Yes,0
24,male,Master,42725,MORTGAGE,4800,DEBTCONSOLIDATION,0.11,700,Yes,0
23,male,Bachelor,90933,RENT,3000,PERSONAL,0.03,595,Yes,0
24,female,Bachelor,90885,RENT,3000,HOMEIMPROVEMENT,0.03,643,Yes,0
23,male,Master,42983,MORTGAGE,3825,VENTURE,0.09,584,Yes,0
23,female,Bachelor,93805,RENT,3000,EDUCATION,0.03,661,No,0
25,male,Bachelor,93901,RENT,3000,HOMEIMPROVEMENT,0.03,599,Yes,0
25,female,Bachelor,43305,OWN,6400,MEDICAL,0.15,591,Yes,0
23,female,High School,94745,RENT,3000,VENTURE,0.03,591,Yes,0
22,female,Associate,94897,RENT,3000,PERSONAL,0.03,644,Yes,0
22,female,Associate,94173,RENT,3000,VENTURE,0.03,610,Yes,0
22,male,Associate,100731,RENT,3000,EDUCATION,0.03,683,No,0
25,female,High School,101872,RENT,3000,DEBTCONSOLIDATION,0.03,608,Yes,0
25,female,High School,81209,RENT,3000,MEDICAL,0.04,627,No,1
22,female,Associate,42991,MORTGAGE,3500,PERSONAL,0.08,535,Yes,0
22,male,Associate,102995,RENT,3000,EDUCATION,0.03,560,No,0
23,female,High School,102931,RENT,3000,VENTURE,0.03,604,No,0
24,male,Master,108402,RENT,3000,PERSONAL,0.03,626,Yes,0
23,female,Bachelor,43074,OWN,5500,VENTURE,0.13,682,No,0
26,female,Bachelor,108985,RENT,3000,MEDICAL,0.03,673,No,0
25,male,High School,43204,MORTGAGE,10000,HOMEIMPROVEMENT,0.23,533,No,0
25,female,High School,42975,MORTGAGE,5000,PERSONAL,0.12,641,Yes,0
26,male,Bachelor,121130,RENT,3000,DEBTCONSOLIDATION,0.02,503,Yes,0
22,male,High School,35446,MORTGAGE,9000,DEBTCONSOLIDATION,0.25,588,No,1
24,male,High School,121238,RENT,3000,HOMEIMPROVEMENT,0.02,665,Yes,0
26,female,High School,124895,RENT,3000,PERSONAL,0.02,605,No,0
24,female,Master,132970,RENT,3000,VENTURE,0.02,659,No,0
21,female,Associate,42819,OWN,4000,EDUCATION,0.09,545,Yes,0
23,female,High School,133108,RENT,3000,EDUCATION,0.02,574,Yes,0
24,female,High School,139047,RENT,3000,HOMEIMPROVEMENT,0.02,668,Yes,0
24,female,Associate,145364,RENT,3000,HOMEIMPROVEMENT,0.02,574,No,0
24,female,Associate,42794,MORTGAGE,3600,VENTURE,0.08,608,No,0
26,female,Associate,42804,OWN,5600,VENTURE,0.13,601,Yes,0
21,female,High School,42741,OWN,6500,EDUCATION,0.15,669,No,0
24,male,Associate,150900,RENT,3000,DEBTCONSOLIDATION,0.02,591,Yes,0
22,male,Bachelor,43080,MORTGAGE,4000,VENTURE,0.09,646,Yes,0
26,male,Associate,150915,RENT,3000,MEDICAL,0.02,625,Yes,0
24,male,High School,43117,MORTGAGE,2000,VENTURE,0.05,638,Yes,0
24,male,High School,171265,RENT,3000,DEBTCONSOLIDATION,0.02,642,Yes,0
25,female,High School,166103,RENT,3000,EDUCATION,0.02,580,No,1
25,female,Bachelor,216723,RENT,3000,VENTURE,0.01,626,Yes,0
25,female,Bachelor,22077,RENT,3025,VENTURE,0.14,686,No,1
25,female,Associate,43065,OWN,3600,EDUCATION,0.08,634,No,0
22,female,Bachelor,20983,RENT,3050,EDUCATION,0.15,612,No,1
26,female,Associate,43029,OWN,7200,PERSONAL,0.17,672,No,0
23,female,High School,29873,RENT,3050,MEDICAL,0.1,658,Yes,0
23,male,Associate,15524,RENT,3075,PERSONAL,0.2,667,No,1
25,male,Associate,37122,RENT,3075,EDUCATION,0.08,570,Yes,0
26,female,High School,42901,MORTGAGE,8000,MEDICAL,0.19,673,Yes,0
21,female,Bachelor,43373,MORTGAGE,1500,MEDICAL,0.03,640,Yes,0
26,female,Master,53591,RENT,3075,MEDICAL,0.06,668,Yes,0
23,female,High School,35590,OWN,10000,MEDICAL,0.28,560,No,1
25,male,High School,24952,RENT,3100,MEDICAL,0.12,643,Yes,0
26,male,Associate,42730,MORTGAGE,3800,HOMEIMPROVEMENT,0.09,555,Yes,0
23,male,High School,25215,RENT,3125,PERSONAL,0.12,621,Yes,0
26,female,Master,43295,MORTGAGE,2500,HOMEIMPROVEMENT,0.06,570,Yes,0
21,female,Associate,19243,RENT,3150,HOMEIMPROVEMENT,0.16,538,No,1
25,female,High School,51531,RENT,3150,EDUCATION,0.06,507,Yes,0
22,female,Bachelor,43024,MORTGAGE,8000,EDUCATION,0.19,642,Yes,0
24,female,Associate,43094,OWN,3600,VENTURE,0.08,667,Yes,0
22,female,Bachelor,35880,MORTGAGE,12000,PERSONAL,0.33,658,No,1
22,female,Master,116053,RENT,3150,EDUCATION,0.03,679,No,0
21,male,Bachelor,35759,RENT,3175,EDUCATION,0.09,494,Yes,0
24,male,Bachelor,15394,RENT,3200,PERSONAL,0.21,668,No,1
24,male,High School,42973,MORTGAGE,7775,MEDICAL,0.18,621,Yes,0
21,male,Bachelor,15237,RENT,3200,VENTURE,0.21,631,No,1
26,female,High School,18488,RENT,3200,MEDICAL,0.17,634,No,1
22,male,Bachelor,19960,RENT,3200,VENTURE,0.16,618,No,1
25,male,High School,20168,RENT,3200,DEBTCONSOLIDATION,0.16,620,No,1
21,male,Associate,22703,RENT,3200,PERSONAL,0.14,609,No,1
22,female,High School,42747,MORTGAGE,3500,MEDICAL,0.08,649,No,0
23,female,Master,22337,RENT,3200,HOMEIMPROVEMENT,0.14,586,No,1
23,male,Bachelor,35921,MORTGAGE,6000,PERSONAL,0.17,583,No,1
21,female,High School,42732,MORTGAGE,13650,DEBTCONSOLIDATION,0.32,623,Yes,0
22,male,Associate,23989,RENT,3200,EDUCATION,0.13,681,No,1
23,male,Bachelor,24907,RENT,3200,PERSONAL,0.13,616,Yes,0
23,female,Associate,25179,RENT,3200,VENTURE,0.13,588,No,1
23,male,High School,26028,RENT,3200,EDUCATION,0.12,578,Yes,0
23,male,Associate,27680,RENT,3200,MEDICAL,0.12,642,No,0
25,male,Associate,28353,RENT,3200,DEBTCONSOLIDATION,0.11,691,Yes,0
